Movie,Spells,Witch/Wizard
Philosopher's Stone,Glass Vanishing Spell (Wandless) (Wordless),Harry Potter
Philosopher's Stone,Glass Reappearing Spell (Wandless) (Wordless),Harry Potter
Philosopher's Stone,Fire Spell (Umbrella) (Wordless),Rubeus Hagrid
Philosopher's Stone,Pigtail Spell (Umbrella) (Wordless),Rubeus Hagrid
Philosopher's Stone,Brick Opening Spell (Umbrella) (Wordless),Rubeus Hagrid
Philosopher's Stone,Box Throwing Spell (Wordless),Harry Potter
Philosopher's Stone,Vase Shattering Spell (Wordless),Harry Potter
Philosopher's Stone,Light And Wind Spell (Wordless),Harry Potter
Philosopher's Stone,Unlocking Spell (Wordless) [Flashback],Voldemort
Philosopher's Stone,Killing Curse (Wordless) [Flashback],Voldemort
Philosopher's Stone,Yellow Rat Spell,Ron Weasley
Philosopher's Stone,Oculus Reparo,Hermione Granger
Philosopher's Stone,Water To Rum Spell,Seamus Finnigan
Philosopher's Stone,Alohomora,Hermione Granger
Philosopher's Stone,Wingardium Leviosa,Hermione Granger
Philosopher's Stone,Wingardium Leviosa,Seamus Finnigan
Philosopher's Stone,Wingardium Leviosa,Ron Weasley
Philosopher's Stone,Broom Jinx,Quirinus Quirrell
Philosopher's Stone,Broom Counter-Jinx,Severus Snape
Philosopher's Stone,Lacarnum Inflamari,Hermione Granger
Philosopher's Stone,Levitation Spell (Wordless),Filius Flitwick
Philosopher's Stone,Petrificus Totalus,Hermione Granger
Philosopher's Stone,Lumos Solem,Hermione Granger
Philosopher's Stone,Fire Spell (Wandless) (Wordless),Quirinus Quirrell
Philosopher's Stone,Banner Change Spell (Wandless) (Wordless),Albus Dumbledore
Chamber Of Secrets,Oculus Reparo,Hermione Granger
Chamber Of Secrets,Eat Slugs Spell,Ron Weasley
Chamber Of Secrets,Vera Verto,Minerva McGonagall
Chamber Of Secrets,Vera Verto,Ron Weasley
Chamber Of Secrets,Finite Incantato,Hermione Granger
Chamber Of Secrets,Brackium Emendo,Gilderoy Lockhart
Chamber Of Secrets,Expelliarmus,Severus Snape
Chamber Of Secrets,Everte Statum,Draco Malfoy
Chamber Of Secrets,Rictusempra,Harry Potter
Chamber Of Secrets,Serpensortia,Draco Malfoy
Chamber Of Secrets,Alarte Ascendare,Gilderoy Lockhart
Chamber Of Secrets,Vipera Evanesca,Severus Snape
Chamber Of Secrets,Sherbert Lemon Staircase Password (Wandless),Minerva McGonagall
Chamber Of Secrets,Wingardium Leviosa,Harry Potter
Chamber Of Secrets,Cistem Aperio [Flashback],Tom Riddle
Chamber Of Secrets,Arania Exumai [Flashback],Tom Riddle
Chamber Of Secrets,Arania Exumai,Harry Potter
Chamber Of Secrets,Arania Exumai,Harry Potter
Chamber Of Secrets,Obliviate,Gilderoy Lockhart
Chamber Of Secrets,Fiery Anagram Spell,Tom Riddle (Diary)
Prisoner of Azkaban ,Lumos Maxima,Harry Potter
Prisoner of Azkaban ,Lumos Maxima,Harry Potter
Prisoner of Azkaban ,Lumos Maxima,Harry Potter
Prisoner of Azkaban ,Lumos Maxima,Harry Potter
Prisoner of Azkaban ,Lumos Maxima,Harry Potter
Prisoner of Azkaban ,Glass Shattering Spell (Wandless) (Wordless),Harry Potter
Prisoner of Azkaban ,Marge Inflation Spell (Wandless) (Wordless),Harry Potter
Prisoner of Azkaban ,Car Alarm Silencing Spell (Wordless),Tom
Prisoner of Azkaban ,Spoon Stirring Spell (Wandless) (Wordless),Unnamed Wizard
Prisoner of Azkaban ,Dementor Repelling Spell (Wordless),Remus Lupin
