Chapter ID,Chapter Name,Movie ID,Movie Chapter
1,Doorstep Delivery,1,1
2,The Vanishing Glass,1,2
3,Letters from No One,1,3
4,Keeper of the Keys,1,4
5,Diagon Alley,1,5
6,Gringotts,1,6
7,Ollivanders,1,7
8,The Boy Who Lived,1,8
9,Platform 9&¾,1,9
10,Ron and Hermione,1,10
11,Welcome to Hogwarts,1,11
12,The Sorting Hat,1,12
13,Nick and Other Residents,1,13
14,Potions and Parcels,1,14
15,New Seeker,1,15
16,Three-Headed Sentinel,1,16
17,Facts and Feathers,1,17
18,Mountain Troll,1,18
19,Quidditch,1,19
20,Interference Overcome,1,20
21,Christmas Gift,1,21
22,Cloaked in darkness,1,22
23,The Mirror of Erised,1,23
24,Norbert,1,24
25,The Forbidden Forest,1,25
26,Up to Something,1,26
27,Through the Trapdoor,1,27
28,Wizard's Chess,1,28
29,Sacrifice Play,1,29
30,Man With Two Faces,1,30
31,Magic Touch,1,31
32,Mark of Love,1,32
33,House Cup Winner,1,33
34,Not Really Going Home,1,34
35,In a Cage,2,1
36,Dobby's Warning,2,2
37,Car Rescue,2,3
38,The Burrow,2,4
39,To Diagon Alley,2,5
40,Flourish and Blotts,2,6
41,Flying to Hogwarts,2,7
42,Whomping Willow,2,8
43,Not Expelled... Today,2,9
44,Mandrakes; Ron's Howler,2,10
45,Gilderoy Lockhart,2,11
46,Mudbloods and Murmurs,2,12
47,Writing on the Wall,2,13
48,About the Chamber,2,15
49,Rogue Bludger,2,16
50,No Longer Safe,2,17
51,Dueling Club,2,18
52,A Parselmouth,2,19
53,Nothing to Tell,2,20
54,Polyjuice Potion,2,21
55,Harry and Ron Transformed,2,22
56,The Diary,2,24
57,Tom Riddle,2,25
58,Petrified,2,27
59,Cornelius Fudge,2,29
60,Aragog,2,30
61,Spider Attack,2,31
62,Missing,2,32
63,Chamber of Secrets,2,33
64,Backfire,2,34
65,Heir of Slytherin,2,35
66,The Basilisk,2,36
67,Healing Powers,2,37
68,Out Of The Hat,2,38
69,Dobby's Reward,2,39
70,Welcome Back,2,40
71,Under Covers Prologue,3,1
72,Aunt Marge's Big Mistake,3,2
73,The Knight Bus,3,3
74,The Leaky Cauldron,3,4
75,In Grave Danger,3,5
76,The Dementor,3,6
77,Welcome and Warning,3,7
