Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue
1,1,8,4,I should have known that you would be here...Professor McGonagall.
2,1,8,7,"Good evening, Professor Dumbledore. Are the rumours true, Albus?"
3,1,8,4,"I'm afraid so, Professor. The good, and the bad."
4,1,8,7,And the boy?
5,1,8,4,Hagrid is bringing him.
6,1,8,7,Do you think it wise to trust Hagrid with something as important as this?
7,1,8,4,"Ah, Professor, I would trust Hagrid with my life."
8,1,8,5,"Professor Dumbledore, Sir. Professor McGonagall."
9,1,8,4,"No problems, I trust, Hagrid?"
10,1,8,5,"No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go."
11,1,8,7,"Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are..."
12,1,8,4,The only family he has.
13,1,8,7,This boy will be famous. There won't be a child in our world who doesn't know his name.
14,1,8,4,Exactly. He's better off growing up away from all that. Until he is ready.
15,1,8,4,"There, there, Hagrid. It's not really goodbye, after all."
16,1,8,4,Good luck...Harry Potter.
17,2,8,32,Up. Get up.  Now!
18,2,8,31,"Wake up, cousin! We're going to the zoo!"
19,2,8,32,"Oh, here he comes, the birthday boy!"
20,2,8,21,"Happy birthday, son."
21,2,8,32,"Why don't you just cook the breakfast, and try not to burn anything."
22,2,8,1,"Yes, Aunt Petunia."
23,2,8,32,I want everything to be perfect for my Dudley's special day.
24,2,8,21,"Hurry up! Bring my coffee, boy!"
25,2,8,1,"Yes, Uncle Vernon."
26,2,8,32,"Aren't they wonderful, darling?"
27,2,8,31,How many are there?
28,2,8,21,Thirty-six. Counted 'em myself.
29,2,8,31,Thirty-six?! But last year last year I had thirty-seven!!
30,2,8,21,"Err yes, well, some of them are quite a bit bigger than last year."
31,2,8,31,I don't care how big they are!
32,2,8,32,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
33,2,8,32,This will be a lovely day at the zoo. I'm really looking forward to it.
34,2,8,21,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
35,2,8,31,Make it move.
36,2,8,21,Move!
37,2,8,31,MOVE!
38,2,8,1,He's asleep!
39,2,8,31,He's boring.
40,2,8,1,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
41,2,8,31,"Mummy, dad, come here! You won't believe what this snake is doing!"
42,2,8,31,Whoa! Ahh! Ahh!!
43,2,8,161,Thanks.
44,2,8,1,Anytime.
45,2,8,139,SNAKE!
46,2,8,31,"Mum, mummy!"
47,2,8,32,AHH!
48,2,8,31,"Mum, help! Help me!"
49,2,8,32,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
50,3,8,32,It's all right. It's all right.
51,3,8,1,Ow!
52,3,8,21,What happened?!
53,3,8,1,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
54,3,8,21,There's no such thing as magic!
55,3,8,32,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings."
56,3,8,21,Caveat Smeltona. Proudest moment of my life.
57,3,8,1,"Will I have to wear that, too?"
58,3,8,32,"What, you? Go to Smeltings?"
59,3,8,21,Ha!
60,3,8,32,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it."
61,3,8,1,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.
62,3,8,32,It'll fit you well enough. Go get the post.  Go!
63,3,8,21,"Oh, Marge is ill! Ate a funny whelk."
64,3,8,31,Dad! Look! Harry's got a letter!
65,3,8,1,"Hey, give it back! It's mine!"
66,3,8,21,Yours? Who'd be writing to you?
67,3,8,21,No more mail through this letterbox.
68,3,8,32,"Have a lovely day at the office, dear."
69,3,8,21,Shoo! Go on!
70,3,8,21,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
71,3,8,1,Because there's no post on Sunday?
72,3,8,21,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
73,3,8,31,AHH! Make it stop! Please make it stop!
74,3,8,21,"Go away, ahh!"
75,3,8,31,What is it? Please tell me what's happening!
76,3,8,21,Give me that! Give me that letter!
77,3,8,1,Get off! Ahh!
78,3,8,21,Ahh!
79,3,8,1,They're my letters! Let go of me!
80,3,8,21,That's it! We're going away! Far away! Where they can't find us!
81,3,8,31,"Daddy's gone mad, hasn't he?!"
82,4,10,1,"Make a wish, Harry."
83,4,10,21,Who's there? Ahh!
84,4,10,5,Sorry 'bout that.
85,4,10,21,"I demand that you leave at once, sir! You are breaking and entering!"
86,4,10,5,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
87,4,10,31,I-I-I'm not Harry.
88,4,10,1,I-I am.
89,4,10,5,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh."
90,4,10,1,Thank you!
91,4,10,5,"It's not every day that your young man turns eleven, now is it?"
92,4,10,1,"Excuse me, who are you?"
93,4,10,5,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
94,4,10,1,"Sorry, no."
95,4,10,5,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
96,4,10,1,Learned what?
97,4,10,5,"You're a wizard, Harry."
98,4,10,1,I-I'm a what?
99,4,10,5,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
100,4,10,1,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
101,4,10,5,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah."
102,4,10,1,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry."
103,4,10,21,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!"
104,4,10,1,You knew? You knew all along and you never told me?
105,4,10,32,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you."
106,4,10,1,Blown up? You told me my parents died in a car crash!
107,4,10,5,A car crash? A car crash kill James and Lily Potter?
108,4,10,32,We had to tell him something.
109,4,10,5,It's an outrage! It's a scandal!
110,4,10,21,He'll not be going!
111,4,10,5,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
112,4,10,1,Muggle?
113,4,10,5,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore."
114,4,10,21,I will not pay for some crackpot old fool to teach him magic tricks!
115,4,10,5,"Never, insult Albus Dumbledore, in front of me."
116,4,10,31,Ahh!
117,4,10,5,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
118,4,10,1,Okay.
119,4,10,5,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?"
120,5,5,1,"First year students will require: three sets of work robes, one wand."
121,5,5,5,"Essential bit of equipment, Harry."
122,5,5,1,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
123,5,5,5,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon."
124,5,5,1,But you like a dragon?
125,5,5,5,"Fast and misunderstood beasts, Harry. Fast and misunderstood."
126,5,5,1,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?"
127,5,5,5,If you know where to go.
128,5,5,92,"Ah, Hagrid! The usual, I presume?"
129,5,5,5,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies."
130,5,5,92,Bless my soul. It's Harry Potter.
131,5,5,139,"Welcome back, Mr. Potter, welcome back."
132,5,5,132,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last."
133,5,5,41,Harry P-potter. C-can't tell you how pleased I am to meet you.
134,5,5,5,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts."
135,5,5,1,"Oh, nice to meet you."
136,5,5,41,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh."
137,5,5,5,"Yes, well, must be going now. Lots to buy. Heh."
138,5,5,1,Goodbye.
139,5,5,5,"See, Harry, you're famous!"
140,5,5,1,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
141,5,5,5,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry."
142,5,5,138,"It's a world class racing broom. Look at it, it's the new Nimbus 2000! It's the fastest model yet."
143,6,2,1,"But, Hagrid, how am I to pay for all this? I haven't any money."
144,6,2,5,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
145,6,2,1,"Uh, Hagrid, what exactly are these things?"
146,6,2,5,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal."
147,6,2,130,And does Mr. Harry Potter have his key?
148,6,2,5,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which."
149,6,2,130,Very well.
150,6,2,30,"Vault 687. Lamp, please.  Key please."
151,6,2,5,"Didn't think your mum and dad would leave you with nothing now, did ya?"
152,6,2,30,Vault 713.
153,6,2,1,"What's in there, Hagrid?"
154,6,2,5,"Can't tell you, Harry. It's Hogwarts business. Very secret."
155,6,2,30,Stand back.
156,6,2,5,"Best not mention this to anyone, Harry."
157,7,4,1,I still need...a wand.
158,7,4,5,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long."
159,7,4,1,Hello? Hello?
160,7,4,43,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious."
161,7,4,1,"Sorry, but what's curious?"
162,7,4,43,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar."
163,7,4,1,And...who owned that wand?
164,7,4,43,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great."
165,7,4,5,Harry! Harry! Happy birthday!
166,7,4,1,Wow.
167,8,5,5,"You all right, Harry? You seem very quiet."
168,8,5,1,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
169,8,5,5,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-..."
170,8,5,1,Maybe if you wrote it down?
