ProductKey,WarehouseKey,Date,QuantityOnHand
1,6,2024-02-17,485
4,5,2024-04-06,299
5,4,2024-09-09,254
3,2,2024-11-07,406
3,3,2024-03-05,55
5,9,2024-05-19,120
2,6,2024-08-02,56
4,9,2024-06-25,320
3,2,2024-09-05,458
3,5,2024-02-25,328
2,2,2024-10-01,398
1,3,2024-01-28,332
4,9,2024-10-14,251
5,5,2024-05-19,333
2,7,2024-04-30,269
4,10,2024-10-12,85
2,5,2024-12-24,468
3,5,2024-02-02,92
5,6,2024-03-26,363
2,8,2024-06-22,389
5,6,2024-02-25,312
3,2,2024-03-30,134
1,7,2024-06-12,294
2,2,2024-12-09,297
5,4,2024-10-06,274
2,8,2024-09-14,93
2,9,2024-08-21,141
4,9,2024-12-24,377
5,5,2024-05-29,71
2,10,2024-04-05,376
5,2,2024-06-22,306
3,5,2024-12-27,179
2,5,2024-06-13,440
2,2,2024-03-22,391
4,1,2024-04-12,447
5,1,2024-04-02,119
2,6,2024-10-04,490
3,9,2024-05-08,380
5,8,2024-11-04,59
5,3,2024-10-18,362
4,10,2024-11-01,225
5,5,2024-01-06,264
5,7,2024-06-12,174
2,6,2024-02-05,447
2,2,2024-12-26,295
3,10,2024-07-17,275
1,9,2024-06-06,204
3,8,2024-03-25,256
3,5,2024-03-16,322
2,4,2024-01-15,133
5,3,2024-02-16,189
3,7,2024-01-03,215
3,3,2024-07-19,215
3,5,2024-03-07,203
3,3,2024-09-09,123
5,7,2024-02-14,310
3,1,2024-06-17,204
2,4,2024-11-19,409
4,3,2024-06-07,412
1,9,2024-06-17,59
1,7,2024-11-01,344
5,5,2024-07-16,299
4,3,2024-08-23,452
2,1,2024-07-14,341
4,4,2024-06-09,496
1,1,2024-01-08,98
4,4,2024-10-02,462
2,5,2024-04-28,144
3,1,2024-11-19,358
5,4,2024-06-23,449
4,2,2024-07-06,274
5,10,2024-01-18,363
3,1,2024-12-27,138
3,8,2024-06-03,312
5,10,2024-06-27,338
3,5,2024-11-13,244
2,9,2024-04-30,246
3,5,2024-11-20,258
2,1,2024-01-03,495
3,5,2024-12-18,152
5,7,2024-08-04,237
3,9,2024-02-20,267
4,5,2024-04-21,263
1,7,2024-03-10,370
2,8,2024-08-10,253
3,4,2024-12-20,386
2,3,2024-01-31,132
4,9,2024-03-22,219
5,2,2024-09-24,152
4,7,2024-08-13,365
5,1,2024-08-26,485
5,1,2024-01-26,244
3,7,2024-10-31,284
1,2,2024-02-19,433
2,10,2024-06-19,73
5,1,2024-05-02,101
2,5,2024-07-05,427
5,3,2024-07-31,417
4,3,2024-01-26,55
4,1,2024-05-26,421
3,4,2024-12-27,402
3,3,2024-04-24,295
1,8,2024-04-07,403
5,2,2024-01-08,403
5,3,2024-09-22,277
1,9,2024-11-17,454
5,3,2024-11-03,319
2,7,2024-03-10,395
1,6,2024-04-09,197
4,4,2024-01-02,256
4,1,2024-03-06,453
5,4,2024-12-09,271
1,5,2024-12-13,474
3,10,2024-03-31,453
5,6,2024-04-11,328
1,9,2024-08-06,418
4,7,2024-12-05,131
1,5,2024-02-21,264
5,7,2024-08-01,124
2,8,2024-04-20,267
4,1,2024-01-04,135
1,3,2024-06-30,59
1,5,2024-05-18,250
5,10,2024-01-05,306
3,1,2024-02-04,92
2,5,2024-01-20,92
4,2,2024-08-21,273
1,3,2024-12-28,263
1,1,2024-04-17,105
4,10,2024-06-29,389
3,1,2024-12-09,479
